N,P,K,temperature,humidity,ph,rainfall,label
80,51,43,23.762898980128437,86.73347745185494,5.757641900009886,227.56685157412085,Rice
71,57,41,21.442669460253914,88.43773031694961,5.597585205542068,241.48960376940417,Rice
68,44,43,23.098985324611125,89.62557421382337,6.203735260744379,266.11871186643344,Rice
77,37,41,20.397635772491096,82.27185907863466,7.1577013371888905,230.42753589140003,Rice
71,49,40,24.454761743950083,84.96584400797312,6.053076363218435,295.2328511540513,Rice
85,42,43,21.091953140664394,80.89460402477089,6.19784628987839,206.52560758835256,Rice
80,48,40,23.38612811626546,87.48779909654475,5.636506948672761,295.3422649807216,Rice
60,39,40,20.27800781532128,85.46398743059953,6.906260056921543,230.26436992676255,Rice
67,58,37,24.368922763609024,88.88408586546362,6.067983827649457,207.97186411826425,Rice
80,46,35,24.941369375301818,86.75323779682003,6.948162942456536,223.17823907427604,Rice
74,36,42,25.3058206205148,83.85195642087824,6.4690603320901605,203.61759408495132,Rice
63,53,37,20.355755162208972,81.66476625310193,6.0072781630257515,277.24581916934096,Rice
85,41,38,23.18335871905763,83.6381109459586,6.836304801227325,251.11480842393996,Rice
65,50,37,22.336939082647813,89.84724823875969,5.84087879282198,262.01895046123684,Rice
75,42,43,22.032485642274914,88.01145727916662,5.544900200451743,291.519823440309,Rice
74,35,39,22.838866274843774,83.69852034438787,7.111877497676031,280.2243803513816,Rice
83,41,37,23.24980965781172,87.89709431511982,7.190430354258322,287.099442139732,Rice
87,37,40,25.776412698328116,86.5505049870466,6.283358008473583,219.3269001210232,Rice
84,51,40,21.720688405233922,86.29557998142974,6.347650393384349,250.6911840163532,Rice
74,41,39,25.710481893671023,84.05260161479133,5.850927591976541,225.9880536858852,Rice
73,50,38,23.458304695899358,82.34531655568321,7.13823228657362,246.4995020745204,Rice
75,36,41,20.229872375953068,82.41195708490669,6.0877050012704,262.79620584670283,Rice
73,46,41,24.79850770397951,88.37917725765021,6.669870809488226,284.2808786977798,Rice
61,54,44,25.544425369530664,87.26417395706369,6.306023984487925,215.5793991969335,Rice
77,53,38,26.78272796717188,89.99381295075011,6.621547060531956,239.49534688376977,Rice
81,58,36,25.582892172229503,87.61993395315558,6.505021504889384,254.90058145387562,Rice
83,36,44,26.493123166448697,89.61391396715388,6.30409222296463,269.8812518645092,Rice
70,55,41,21.560898846667417,88.45879515765577,7.118508351910624,282.8102160652263,Rice
80,41,44,23.2245495976623,83.48935751468026,5.663260807556061,280.25748689450154,Rice
66,54,35,20.57809915219204,81.25737960176228,6.404457462659637,282.14815132864726,Rice
75,40,41,23.386784576353424,84.78058065528415,6.747511567372434,299.0233600950081,Rice
63,59,43,26.788120444796217,80.76162517826867,6.017848469838743,236.00830395911868,Rice
60,55,36,21.78684536135166,83.51550856416631,5.971304348772102,263.8527210870694,Rice
77,45,35,21.731125186781867,88.75507559364087,6.444123035228344,285.2949940531789,Rice
80,50,37,23.966908439527987,83.9865415472078,6.018568156887043,296.98608840292127,Rice
63,40,40,20.82407860176442,83.30464602447728,6.438022492984028,227.93409866249357,Rice
89,42,40,21.169210493665926,82.72756791792997,5.820941537262406,244.21544933519692,Rice
69,51,43,21.502608386512854,84.05264836114175,5.805897442814835,224.36416565326098,Rice
61,43,22,26.39133120793572,69.3930843297332,6.469228787816732,68.83805312654906,Maize
87,48,19,18.328361286421217,60.16385733522449,5.671925221978816,93.01218366288802,Maize
78,43,19,22.954497696275766,51.91226075345045,6.0047832328497694,66.55411084699917,Maize
73,54,16,24.041140352334992,60.287704776070605,6.988809264053803,92.75104032616505,Maize
87,44,21,19.094471954170714,68.25288338967863,6.554982561483979,63.75627442230902,Maize
79,46,23,19.268577221886314,56.77723199160167,6.152898264811924,64.46091995774755,Maize
91,43,18,23.90157128150441,55.4266217507798,6.932501894824621,89.2307982945534,Maize
79,40,17,19.174288790173872,66.07354113358488,6.413395178786393,73.10734881372795,Maize
66,58,19,22.983963275482708,61.61823708501088,6.080981849485296,74.30297646024282,Maize
92,59,17,21.75337637582074,69.24675915511152,6.478982829603525,79.04611139747561,Maize
71,52,20,24.58644201347561,59.700555126271155,6.077889190215407,95.22950485488506,Maize
69,40,18,20.26325887187972,57.58932527786801,6.062485098815542,83.80515144199765,Maize
77,51,24,24.797000056630978,50.210456428294826,6.7011216056153735,61.735883710095536,Maize
77,47,23,21.19517457775089,57.74265820363904,5.867789228748072,76.15281962155021,Maize
67,40,23,21.9101254799624,50.71457924996786,6.312044226491435,68.36516792386502,Maize
85,50,15,20.065984734383626,55.45169767866716,6.7825852279419205,87.9431495817827,Maize
88,46,23,21.26384233375204,51.779032912407466,6.503249381823238,61.87902347063516,Maize
67,57,24,26.066179602909113,55.458848129113,5.814959201985161,74.55486340652791,Maize
63,49,23,25.0196439912877,64.6715195728733,6.6669732892258295,66.78910597876556,Maize
94,44,19,20.648734150380335,52.82727415540564,6.990512677957629,98.95142373559594,Maize
94,52,21,23.937930127630093,55.083040665832065,5.568562317155562,86.89473580199254,Maize
68,53,20,18.338563520529465,55.87683535792068,6.238879998551341,85.59007879703191,Maize
97,42,18,19.00098004036634,59.66935593453607,5.990353913444645,71.03069161399121,Maize
89,52,16,19.885725226281714,59.14161239115488,6.265104743182958,82.20895793576591,Maize
63,48,15,26.791656111830093,64.51168243045105,5.683942890190597,95.79960989264708,Maize
95,40,18,22.069592808474123,51.2065142990093,6.81662167522078,80.1879614158084,Maize
68,45,18,22.6646340178049,52.151615573516196,6.89997741632844,90.10170567665146,Maize
91,54,16,21.84061994805152,53.963437538868476,6.892798224860693,96.65930582847534,Maize
66,49,20,26.63768258528541,64.86851394640587,6.929436851246833,75.2499051437259,Maize
81,47,15,18.441351295045155,55.12829762089075,5.677484827375312,85.18846870535171,Maize
90,47,16,20.68684001400172,63.29478094880092,5.676276884977609,66.79971602071114,Maize
83,55,18,22.347052643349848,53.24051570273011,6.558901858088403,64.74761926467525,Maize
71,54,15,20.165570848528958,53.54824509369768,6.1866383053327265,81.93722585110962,Maize
99,57,19,21.902480062441818,59.97907357825749,6.919965379636115,62.20559145080477,Maize
72,44,22,19.643170455733454,59.44159584106641,6.100386709025946,94.89889206082086,Maize
80,56,23,23.846336844843606,69.05595125822109,5.740225328330337,79.59904377724207,Maize
90,57,21,19.234866887642692,69.53269557157883,6.040300262068879,99.01390751651272,Maize
92,45,24,18.743026412769254,58.31930071715355,5.591830794448988,79.36171070508877,Maize
83,43,21,23.204936358963757,54.90738927983215,6.58541488733172,60.760712491868524,Maize
68,59,21,19.362248860195766,63.30073623763798,6.231396296691341,65.48524682810012,Maize
96,41,24,19.064766453383715,54.822187933007086,6.989952343895751,83.39081276468323,Maize
76,52,22,25.302900405641488,51.72628939428756,6.562689300590265,85.61821177008515,Maize
91,41,22,24.056751352711075,62.042176448805094,6.670051676010095,74.84192971437116,Maize
90,48,15,23.468910024001012,59.62889989263056,6.445540857020769,80.74904861392494,Maize
94,40,16,21.846256616914268,65.63894604936726,6.127849295405229,99.66590843191798,Maize
83,54,18,26.017036027474454,68.59248802830739,5.56004373375916,73.09110554331285,Maize
86,56,16,20.98499792196116,68.80910669780398,6.1446374302300875,62.46325866971896,Maize
60,56,16,25.371695834353687,63.9923986423287,5.963939769223145,63.653248826091776,Maize
66,40,18,26.641878123018707,55.69160328693374,6.3784279645021,87.06742938530489,Maize
93,56,18,26.003942119351624,65.21310246778066,6.200621706650628,86.77534764972718,Maize
75,41,15,25.171999968498866,61.13937156683032,6.844955764173184,66.74372104761918,Maize
82,44,16,23.435943335606066,57.8595722258418,6.171510610073971,85.96207168007774,Maize
72,57,17,23.637502966359367,61.761578003466944,6.959366448353652,66.21747305590678,Maize
88,46,23,23.790181593410445,69.17797163978919,6.413027130840783,85.24683501423958,Maize
61,51,24,25.511095137467077,56.611788028251404,5.759172740906342,74.93591522938262,Maize
99,45,20,24.536947866719398,59.94647017246269,6.784231668412862,95.25965282248794,Maize
65,59,19,21.022186914766237,53.01266001762696,6.4559036725665635,98.9789519803914,Maize
82,51,15,24.928593490144742,61.77831221980118,6.148295643176656,96.84283838797093,Maize
95,51,15,19.171633727593786,52.14360516759175,5.9126592174600425,65.90209613088429,Maize
95,44,24,23.228118652731542,69.52311296665727,6.479791531515195,79.10344529204157,Maize
67,46,23,22.366055716837355,60.41164266648271,6.699867515533502,67.70425137242809,Maize
86,57,24,21.281760768816337,60.90364024314886,5.957762750124112,94.10918987620843,Maize
64,54,18,26.631227251802468,53.743471776195726,6.044387733612368,89.14727549616052,Maize
87,47,15,25.941640760821457,58.035901475805005,5.578568327928652,66.32314862286114,Maize
64,47,24,24.739405917949462,51.43314406544842,6.425992390946107,88.06833673495098,Maize
69,41,23,19.651660940575496,55.769773605514665,6.296496257233814,78.29646329591932,Maize
81,41,18,25.649403028749283,67.75724704530829,5.683269210456586,68.70852448882285,Maize
95,52,24,21.116159751268086,59.66889916929712,5.617718932085239,82.37282997248033,Maize
77,46,16,19.9128161368352,50.71359070410499,5.742584688522892,64.08619421062997,Maize
63,50,21,20.55044449710345,67.25144835504875,6.801616692219904,95.39191748741199,Maize
95,52,24,22.150877931342585,52.48905946027604,5.808036632571125,96.78368204725122,Maize
70,56,21,26.287109051275344,68.32718980529629,6.3024582650562255,78.48867271074812,Maize
84,43,19,18.151401787899477,63.82754572198387,6.350158552161492,93.39520149627951,Maize
92,48,20,18.897368754991707,52.26531337906651,5.8170875545039324,89.54272975018176,Maize
91,45,15,18.939067009637547,56.83260171395823,6.867876495178803,85.06295503325718,Maize
74,57,17,25.541948837792937,62.69732457005922,5.947515595505281,84.09804686949082,Maize
97,51,22,22.23767031082609,65.50482714519752,6.775052233143736,70.65840796829451,Maize
86,59,15,26.126660849461132,62.885780181808826,6.4416447789935996,70.2947260925377,Maize
89,57,18,26.64203639503854,61.49822273880956,5.688156133091997,62.694367788879845,Maize
77,57,16,23.970405896934313,64.03517387871186,5.984319913892328,78.4784549349774,Maize
71,54,22,26.121618216081302,65.93292825630489,6.569630938270439,91.46754410875857,Maize
68,54,24,19.355525816111673,61.527865717860166,5.758723584703549,78.51524457389172,Maize
89,41,17,25.092023311062093,55.71898768642181,6.496504771378929,69.09724286119081,Maize
79,54,18,23.376156629802495,66.78266317012222,6.510870078899281,69.43722596772511,Maize
78,46,20,24.391722699867923,64.4785917449324,6.038120984697,63.64362957100332,Maize
68,57,19,20.216397138268462,57.70527299543683,6.830015223955519,60.79549013689213,Maize
63,58,22,22.31193035323508,68.60525310673444,5.871973405411937,69.48408282999199,Maize
61,57,20,21.645307333819026,69.56860266563649,6.404657708175236,70.56266235338884,Maize
82,41,16,20.27051325355118,59.45505026129484,6.647159243824056,95.83815619676498,Maize
84,48,23,22.597139342373065,60.09714989960622,5.542557096148785,62.825377364508924,Maize
98,59,17,23.01324755709836,65.9869198699535,6.615996020065161,65.81204206478515,Maize
73,49,22,20.80640690358428,54.46484382668372,6.1390257072801555,80.32893147670869,Maize
62,56,16,18.96065713692809,50.23369931709106,6.973009478597507,65.89223152465321,Maize
68,52,16,23.39137980398102,60.85932644687665,6.424397932353995,63.72916801761427,Maize
97,47,19,21.429370376769956,50.10179673459242,6.871238883392424,88.10531376859292,Maize
85,48,16,20.934525655552452,57.79218404452719,6.208223699163223,74.61189298809997,Maize
65,42,20,21.498894036412047,63.22601531100166,6.445150266427574,76.75664621618729,Maize
86,55,20,23.076256673972665,53.38946450223152,5.502253369804149,75.37994744218685,Maize
80,49,18,20.227663296647393,68.00521467450741,5.681225440565033,94.92332000587399,Maize
84,42,16,25.42889171598928,66.14610420912356,5.55741536013876,65.49096986257847,Maize
40,57,77,19.128305306934703,18.126560979374975,6.870403435987582,63.65903307972036,Chickpea
23,60,75,18.839744295767947,17.46425146122602,6.558637357162091,85.15170029684057,Chickpea
23,68,78,19.740719842297302,19.31068614906934,7.294425796719093,87.2524937842179,Chickpea
32,73,76,17.20177418559332,19.787210211009523,6.215750219367069,63.54615162096076,Chickpea
24,66,82,18.408331335742158,15.676739059159074,7.6805278323797115,88.86110153091826,Chickpea
27,61,75,18.52489242223574,16.369113361132012,7.346081940151039,71.35510265216743,Chickpea
37,73,78,18.999141915717665,15.43117403376723,6.808772989157719,86.5439705262648,Chickpea
41,65,82,18.394384827610956,18.066328836257487,7.6760499732099605,69.99964031341185,Chickpea
50,64,82,18.78968862689048,18.344441531525163,6.143380651213484,69.06681756354753,Chickpea
30,77,82,19.39881646081889,15.68060511113676,6.845443227263448,64.16215752908545,Chickpea
27,68,77,17.645584934247,19.7362878802061,7.205796117331802,77.2796279112787,Chickpea
32,66,76,17.495972036452947,16.831343023543262,6.514457841089758,81.60903651546914,Chickpea
36,73,79,19.442434355568036,16.68263497556806,6.9389571227471665,83.86093815928996,Chickpea
29,71,83,19.97157913436138,16.68938389897611,6.589424897821429,71.31042870364476,Chickpea
39,78,81,19.589592000718604,19.4423848132842,7.409859282504356,81.29927231586812,Chickpea
28,79,83,17.459929537988966,16.415933894692913,7.706844247879674,79.74577281250654,Chickpea
47,78,82,18.271375192376762,15.873871944309803,7.736549113122521,71.89328208514011,Chickpea
27,69,81,18.166103576702184,19.379368791239177,7.906442355631504,83.52702817885621,Chickpea
27,76,75,19.381956032940217,18.755236392759837,6.493043196735836,85.2806866072451,Chickpea
41,72,83,17.16341123296809,18.53121263957316,6.049520116486761,73.6390447484838,Chickpea
20,77,75,19.15783032946843,15.968812469200834,6.233542467083477,82.47336969381895,Chickpea
46,71,81,19.84415153326833,15.00214218612683,7.358328966263752,69.50634918563202,Chickpea
36,62,82,18.89695098780803,19.49837606979414,6.791301325915358,88.66845199618209,Chickpea
48,70,82,19.88174707892653,16.34599192666928,6.096043351999899,80.24156033181534,Chickpea
26,56,77,19.482326345265623,15.909397407382395,7.370232083561738,69.80019394010343,Chickpea
34,69,79,18.484865147769707,16.32238542470028,6.560030198120544,63.34066331928145,Chickpea
42,76,81,18.292635566319664,15.567144801721922,7.508786712969176,87.71269404018572,Chickpea
47,59,79,18.866360130740336,17.158608928697227,6.4456291453022265,74.92154771258153,Chickpea
30,67,75,17.81226039451863,18.14043379066222,6.1055417261604905,67.16187561385024,Chickpea
25,63,81,18.940652306130605,18.88489026547537,6.71357400962764,81.97736679242483,Chickpea
43,63,76,17.295603321156054,19.023964941228336,6.302389591815038,71.98335750656535,Chickpea
51,57,79,17.000127011523382,17.245729567067524,6.899192134970259,78.13947977283402,Chickpea
57,79,75,18.410736188400705,16.529298274763438,6.144079644347994,80.93097368888733,Chickpea
26,70,75,18.50723830644593,18.162734189369413,7.982176293964244,81.26915527514433,Chickpea
53,56,76,17.312174105949122,17.424643036424524,6.865625060064348,88.88065758286083,Chickpea
31,70,76,18.125195371010086,17.824814538915117,7.167125759269661,64.16558388250604,Chickpea
51,60,82,17.04343434760244,16.937288846124545,7.9742686084787575,78.06637925450188,Chickpea
55,57,76,18.433465071295476,19.12730771026844,7.683654778738014,68.47952460462889,Chickpea
37,70,84,18.601753637583705,17.699478392488015,7.115253634297771,77.69058183805754,Chickpea
28,77,75,19.13838480356742,17.694955484623847,7.4596074622915385,61.546538276245066,Chickpea
39,55,82,17.929067665149812,19.904417498888524,7.113869390387189,81.60960014335474,Chickpea
43,76,81,17.495086344820162,16.00985139616875,7.851373987074345,82.49962893470632,Chickpea
49,68,81,18.22260828026514,17.39395242671881,7.036952792898011,86.272563233373,Chickpea
47,65,84,17.394690870092624,17.08163470379686,6.774779050084038,66.02925930296325,Chickpea
21,73,84,17.650749002108103,16.96642476308385,6.572626327930011,66.68744448020215,Chickpea
23,66,76,18.58925840833431,15.10860137269439,7.892806926654111,73.49542688769847,Chickpea
23,56,80,19.17067491046438,18.94239439660825,7.923753807476341,82.91534038841323,Chickpea
42,69,75,19.639795896289986,16.839597727625748,7.249818495966171,61.3644371948208,Chickpea
32,56,81,19.782296539067804,18.462172034386892,6.969669460848395,68.56384402192364,Chickpea
36,61,81,17.86193623755354,19.491844939921485,7.342965533347694,66.91499878691435,Chickpea
53,79,81,17.787506383753566,18.76147051705619,6.849238966582491,81.55872688931842,Chickpea
25,67,78,19.738039100305425,17.28687750646285,6.897447280524169,89.23823065160802,Chickpea
43,74,77,19.958892193743658,16.188765701383794,7.884722353905074,74.38054184226013,Chickpea
53,71,80,19.640077099743593,18.21310982505198,6.797534002766736,75.69759406665084,Chickpea
27,74,82,17.987945104335584,19.380362628001798,6.241324079788976,76.36485675452982,Chickpea
24,66,82,17.458172846709115,19.69484346029286,6.578533390275554,77.55812478297031,Chickpea
47,67,78,17.11757991256839,19.394221974012716,6.483378795282775,71.50040244593276,Chickpea
28,67,83,18.974406629861424,19.358902735950316,6.147768660099068,81.33338376884586,Chickpea
48,63,83,17.113770322816283,19.195720242625946,6.6489708918148525,73.98408403881095,Chickpea
40,67,83,19.264612295614647,18.387577954293498,6.35692994490368,61.335666999050005,Chickpea
23,77,84,18.74856863333873,15.39173094006146,6.516105652248886,74.00267135387153,Chickpea
55,70,81,19.94207894110886,15.559097688336667,7.491975318601848,83.53832019900818,Chickpea
53,75,77,18.20097976880966,16.13165513756371,6.045775094882101,65.79828926661759,Chickpea
40,71,75,18.9784514096163,16.408450098271697,7.504961669676518,80.21192301693426,Chickpea
55,65,76,18.819372512936468,16.090624407022478,6.273701336876032,64.26053792941956,Chickpea
28,71,80,18.46477425129406,17.00739380765225,7.733628331595488,79.85630422615944,Chickpea
36,62,84,19.440789346200276,15.28225691850382,7.357179870923915,74.35488991963851,Chickpea
31,57,75,18.791178556162542,16.01682648635418,7.688048721991775,63.534651578439515,Chickpea
30,63,78,19.10143671330609,18.627555132070942,7.205708292394031,82.95091936822021,Chickpea
34,68,84,18.979938614608567,15.77018992827439,7.6814092179426225,84.58337311001361,Chickpea
33,61,80,19.841595759967635,18.40910287443983,7.933769375359617,83.3978337717927,Chickpea
59,69,80,17.295603618565615,15.089098524000299,7.235097226841291,62.85195214402291,Chickpea
53,74,82,19.822149892153604,15.51017615786025,7.296276085220125,70.75138654625763,Chickpea
30,63,77,19.21566344658045,16.732837402712637,6.568564974386542,61.546636759843196,Chickpea
32,58,81,19.233709148682276,15.247338882287032,6.982406715250232,85.43612138015664,Chickpea
48,58,81,17.774725811914447,19.34030000969779,6.9693103156723915,77.32293761528305,Chickpea
36,77,78,19.56185930797652,17.263980136126023,7.468284307577306,79.8852472460029,Chickpea
23,60,83,19.574902661234276,19.897556390565008,7.627132640678748,77.21250466135913,Chickpea
54,78,81,19.522439284398004,17.92593804901343,7.565278565597506,70.28116251402895,Chickpea
54,61,79,18.489836777925216,17.591344970539474,7.976362937852681,83.64700071237934,Chickpea
52,78,76,18.60315433043408,15.18938071339309,7.2233033025883495,64.49341784396285,Chickpea
29,64,83,17.327364594668246,18.166306691356574,7.7633815052009405,61.64659910027762,Chickpea
42,63,77,17.771168857539863,16.931426807375534,7.472793921168829,72.74739211900169,Chickpea
54,74,84,18.513291532592977,15.888486893729436,6.583539127131469,61.44530661990992,Chickpea
52,74,76,18.597153945801963,19.06680580211344,7.783887324594877,89.57592430124446,Chickpea
33,68,75,17.13318459118324,15.947964914876966,6.295712461169541,84.58880099272818,Chickpea
28,75,75,19.075176891947578,18.37172295106058,7.362620932763132,89.61074491671181,Chickpea
50,75,80,19.241334691437608,18.611586002447858,6.798077704160113,61.894799861821795,Chickpea
25,78,81,17.54436452140346,16.631045999810667,7.4845731210349244,71.8264832090434,Chickpea
45,58,81,18.05421095453163,18.918325480636142,7.225511689800877,64.07576240966343,Chickpea
37,68,78,18.818373076068088,18.777483595416612,7.814747088049622,85.87644939037426,Chickpea
44,56,76,19.08166862079969,19.586912900682254,6.6427826167627115,79.13385964987205,Chickpea
50,59,78,19.196977465835246,17.980614953818055,7.746366614019091,61.920413132507576,Chickpea
46,62,78,18.05353553538762,18.953265475661777,6.39459510588443,79.57018764922954,Chickpea
24,63,84,17.768037251474833,16.10340799712755,6.3427202485063585,80.702843768177,Chickpea
46,65,75,17.03746895152456,17.966555731347285,6.38873682699391,64.299437491581,Chickpea
57,66,83,17.184395816728784,15.150216061874984,7.555087032859305,75.92322358977253,Chickpea
57,57,81,17.70404713673187,16.736967671755696,7.728891888277721,81.9414842884254,Chickpea
45,59,77,19.42407483136517,15.28678928254491,6.850126031623015,68.57955755569049,Chickpea
35,64,84,19.985482002101772,19.08528650752827,7.37167561053122,87.20028949356548,Chickpea
18,73,19,19.852281011515824,21.484430988361982,5.686153265187299,125.03020511785253,Kidneybeans
11,57,21,23.79442740219949,22.43450253070978,5.600197788792159,147.30882888850826,Kidneybeans
17,66,21,17.338649405879412,20.350715708680575,5.550147325488953,131.5099795503951,Kidneybeans
37,69,23,17.150946714470518,19.6019568709647,5.550443469319364,132.73137584688132,Kidneybeans
23,78,22,16.504868676053118,21.380609090383427,5.953802855372376,75.91045311502621,Kidneybeans
12,65,19,23.56503110385203,19.389769869644123,5.701668883694956,96.73227162607657,Kidneybeans
15,68,17,20.11637301769123,22.27027733460109,5.604242876740461,117.89745834800871,Kidneybeans
15,77,18,18.545512555267027,24.352637266036993,5.991524573979557,78.10539250342984,Kidneybeans
19,68,23,20.744424172431586,19.43815405413224,5.536373556576561,146.4338842460313,Kidneybeans
21,60,18,18.77458068949776,22.259549057716004,5.87638680927501,85.5807063332837,Kidneybeans
18,72,21,18.87906676645224,20.738490655644284,5.55135150701643,105.06355651603843,Kidneybeans
37,65,15,18.4916779247845,21.128041779612502,5.725957890674729,81.6575028919535,Kidneybeans
35,57,23,21.520659718113766,22.57974045427766,5.809941182818211,81.51054914948952,Kidneybeans
13,70,22,23.937034459355843,19.18791167728803,5.975838375183891,138.32948602694552,Kidneybeans
29,79,19,22.261506099538625,22.392008678398568,5.645113780664172,140.10071603281037,Kidneybeans
28,63,22,23.378852849405707,18.368655202826673,5.5254466804602425,76.25582351606208,Kidneybeans
36,75,17,20.340119462976155,18.758717347360605,5.990382022738357,128.34386315421045,Kidneybeans
27,57,15,21.33498335939569,18.766320211933635,5.804886922590741,105.26342237412311,Kidneybeans
22,77,20,21.176864948693744,20.121211561864595,5.851057099226432,113.79517545974306,Kidneybeans
33,79,16,19.400250118709707,19.893631321711414,5.936217407401677,143.10359258297845,Kidneybeans
26,78,15,18.582372014020148,23.673316265731714,5.639150605600818,129.32747675822242,Kidneybeans
10,55,23,20.644480956386627,21.937365184257487,5.543211167504272,67.04555612086486,Kidneybeans
25,62,21,18.968732166930522,21.87504684736556,5.995035148958793,80.1482741982713,Kidneybeans
26,77,21,19.494671963350044,22.351805449392725,5.716590683561239,76.61035520848083,Kidneybeans
